subject,condition,RT,score,confidence,stock,im_id
subject_08,0.0,2.7596388700003445,1,90.0,0,13
subject_08,0.0,2.345699035000507,1,51.0,1,14
subject_08,0.0,3.93598449899946,1,47.0,0,15
subject_09,0.0,1.9633557990000556,1,51.0,0,1
subject_09,0.0,1.1351110479990894,0,40.0,0,2
subject_09,0.0,1.2124729669994851,0,50.0,0,3
subject_09,0.0,2.418711733000237,1,29.0,0,4
subject_09,0.0,0.6234215629992832,1,100.0,1,5
subject_09,0.0,0.8769642829993245,0,85.0,0,6
subject_09,0.0,0.9088580629995704,1,100.0,0,7
subject_09,0.0,0.8660637579996546,1,100.0,1,8
subject_09,0.0,2.172045479999724,1,50.0,1,9
subject_09,0.0,1.8554551229990464,0,55.0,0,10
subject_09,0.0,1.3774509779996151,1,45.0,0,11
subject_09,0.0,3.3820491200003744,0,75.0,0,12
subject_09,0.0,1.8124688659991082,1,98.0,0,13
subject_09,0.0,0.6058417889998964,1,100.0,1,14
subject_09,0.0,1.228687920000084,1,95.0,0,15
subject_10,1.0,6.497105573000226,0,24.0,0,1
subject_10,1.0,8.073675368001204,0,25.0,0,2
subject_10,1.0,8.420170745999712,1,40.0,0,3
subject_10,1.0,9.181712281000726,1,30.0,0,4
subject_10,1.0,1.7978555629997572,1,81.0,1,5
subject_10,1.0,3.4799092899993416,0,60.0,0,6
subject_10,1.0,6.3563338960011615,1,50.0,0,7
subject_10,1.0,9.980357669999648,1,30.0,1,8
subject_10,1.0,nan,nan,0.0,1,9
subject_10,1.0,6.428583110000544,0,31.0,0,10
subject_10,1.0,5.889778553999349,1,43.0,0,11
subject_10,1.0,6.594352164000156,0,75.0,0,12
subject_10,1.0,7.696784964000471,1,80.0,0,13
subject_10,1.0,7.330347050999991,1,75.0,1,14
subject_10,1.0,nan,nan,0.0,0,15
subject_11,1.0,6.9290642060004775,0,40.0,0,1
subject_11,1.0,7.452034304998961,0,20.0,0,2
subject_11,1.0,7.610765707999235,1,50.0,0,3
subject_11,1.0,5.598026436000509,1,47.0,0,4
subject_11,1.0,3.3038205640004885,1,65.0,1,5
subject_11,1.0,7.8828521799987366,1,49.0,0,6
subject_11,1.0,4.685852088001411,1,56.0,0,7
subject_11,1.0,5.250975238999672,1,60.0,1,8
subject_11,1.0,7.726734396001119,1,24.0,1,9
subject_11,1.0,nan,nan,1.0,0,10
subject_11,1.0,9.056873882000216,1,32.0,0,11
subject_11,1.0,5.528633041998546,1,90.0,0,12
subject_11,1.0,7.798162404000323,1,56.0,0,13
subject_11,1.0,6.129107084998394,1,57.0,1,14
subject_11,1.0,9.108653450999554,0,16.0,0,15
subject_12,1.0,7.956842042003701,0,62.0,0,1
subject_12,1.0,6.981057053999393,0,55.0,0,2
subject_12,1.0,nan,nan,3.0,0,3
subject_12,1.0,7.68877465299738,0,35.0,0,4
subject_12,1.0,5.33735989699926,1,38.0,1,5
subject_12,1.0,7.267888198002765,1,80.0,0,6
subject_12,1.0,4.599998989004233,1,66.0,0,7
subject_12,1.0,4.692599064997921,0,66.0,1,8
subject_12,1.0,7.6458340829994995,0,32.0,1,9
subject_12,1.0,7.384583865001331,0,38.0,0,10
subject_12,1.0,4.4223601009944105,1,58.0,0,11
subject_12,1.0,7.591537210995739,0,58.0,0,12
subject_12,1.0,4.074482539996096,0,73.0,0,13
subject_12,1.0,nan,nan,0.0,1,14
subject_12,1.0,7.146133498994459,1,18.0,0,15
subject_13,0.0,6.1549630259996775,0,40.0,0,1
subject_13,0.0,2.522538354000062,1,39.0,0,2
subject_13,0.0,nan,nan,38.0,0,3
subject_13,0.0,2.8110222569998773,0,43.0,0,4
subject_13,0.0,1.0869003460002205,0,68.0,1,5
subject_13,0.0,1.9621872509997047,0,82.0,0,6
subject_13,0.0,0.9930563579996488,1,91.0,0,7
subject_13,0.0,1.7455903079999189,0,62.0,1,8
subject_13,0.0,3.7059971210001095,0,63.0,1,9
subject_13,0.0,9.442459628000053,0,34.0,0,10
subject_13,0.0,0.8279371389999142,0,63.0,0,11
subject_13,0.0,5.9514664070002254,0,65.0,0,12
subject_13,0.0,1.5794388240001354,0,77.0,0,13
subject_13,0.0,1.016978913999992,1,80.0,1,14
subject_13,0.0,1.1043356210002455,1,77.0,0,15
subject_14,1.0,8.15901970199775,0,40.0,0,1
subject_14,1.0,8.63437071700173,0,30.0,0,2
subject_14,1.0,3.3756890520016896,1,70.0,0,3
subject_14,1.0,9.626065145999746,1,20.0,0,4
subject_14,1.0,1.000375941999664,1,87.0,1,5
subject_14,1.0,5.918937852002273,1,69.0,0,6
subject_14,1.0,5.818082609999692,1,50.0,0,7
subject_14,1.0,4.473988650999672,1,100.0,1,8
subject_14,1.0,nan,nan,0.0,1,9
subject_14,1.0,4.715060941998672,0,70.0,0,10
subject_14,1.0,5.482673467002313,1,8.0,0,11
subject_14,1.0,7.58036843899754,1,50.0,0,12
subject_14,1.0,4.163929397996982,1,81.0,0,13
subject_14,1.0,8.881721535999533,1,0.0,1,14
subject_14,1.0,7.8317138940001305,1,34.0,0,15
subject_15,1.0,4.079806896999799,0,40.0,0,1
subject_15,1.0,5.719006317001913,0,25.0,0,2
subject_15,1.0,6.497178105000786,0,51.0,0,3
subject_15,1.0,7.73797071700028,0,14.0,0,4
subject_15,1.0,1.6852367199971925,1,71.0,1,5
subject_15,1.0,5.749466516001121,1,78.0,0,6
subject_15,1.0,3.1143158340019,1,61.0,0,7
subject_15,1.0,5.926157281002816,0,53.0,1,8
subject_15,1.0,nan,nan,0.0,1,9
subject_15,1.0,3.800529118998384,0,62.0,0,10
subject_15,1.0,3.4471286350017185,1,45.0,0,11
subject_15,1.0,6.692889629001003,0,61.0,0,12
subject_15,1.0,5.4857845429978624,0,66.0,0,13
subject_15,1.0,nan,nan,0.0,1,14
subject_15,1.0,5.488794781002071,1,23.0,0,15
subject_16,0.0,5.006684803011011,0,60.0,0,1
subject_16,0.0,1.7149718220025534,1,82.0,0,2
subject_16,0.0,4.259066667989828,1,88.0,0,3
subject_16,0.0,1.6041172760014888,1,90.0,0,4
subject_16,0.0,1.5790076669945847,1,82.0,1,5
subject_16,0.0,6.3982985070033465,1,79.0,0,6
subject_16,0.0,1.647258213997702,1,80.0,0,7
subject_16,0.0,1.1867187519965228,1,80.0,1,8
subject_16,0.0,3.3369531770003964,1,48.0,1,9
subject_16,0.0,5.860091861002729,0,49.0,0,10
subject_16,0.0,1.550656200008234,0,81.0,0,11
subject_16,0.0,0.0,0,82.0,0,12
subject_16,0.0,2.2721346969919978,0,80.0,0,13
subject_16,0.0,1.1221711300022434,1,91.0,1,14
subject_16,0.0,2.0788890789990546,1,88.0,0,15
