Condition,Confidence: ,Pos:,RT:,
0,,,,
,40,"(11.0, -17.0)",6.1549630259996775,
,39,"(39.0, -28.0)",2.522538354000062,
,38,,,
,43,"(62.0, -8.0)",2.811022256999877,
,68,"(13.0, -10.0)",1.0869003460002205,
,82,"(33.0, -40.0)",1.9621872509997047,
,91,"(39.0, -31.0)",0.9930563579996488,
,62,"(-20.0, -26.0)",1.7455903079999189,
,63,"(50.0, -26.0)",3.7059971210001095,
,34,"(60.0, -17.0)",9.442459628000051,
,63,"(63.0, -18.0)",0.8279371389999142,
,65,"(53.0, -29.0)",5.9514664070002254,
,77,"(47.0, -19.0)",1.5794388240001354,
,80,"(30.0, -31.0)",1.016978913999992,
,77,"(27.0, -31.0)",1.1043356210002457,
