Condition,Confidence: ,Pos:,RT:,
0,,,,
,60,"(-55.0, -22.0)",5.006684803011012,
,82,"(49.0, -28.0)",1.7149718220025534,
,88,"(-4.0, -13.0)",4.259066667989828,
,90,"(5.0, -10.0)",1.6041172760014888,
,82,"(-37.0, 0.0)",1.5790076669945847,
,79,"(-42.0, 7.0)",6.3982985070033465,
,80,"(19.0, -1.0)",1.6472582139977021,
,80,"(58.0, -15.0)",1.1867187519965228,
,48,"(-24.0, -12.0)",3.336953177000396,
,49,"(-20.0, -21.0)",5.860091861002729,
,81,"(-31.0, 18.0)",1.550656200008234,
,82,"(-55.0, -12.0)",0.0,
,80,"(-56.0, 30.0)",2.2721346969919978,
,91,"(42.0, -31.0)",1.1221711300022434,
,88,"(72.0, 24.0)",2.0788890789990546,
