Condition,Confidence: ,Pos:,RT:,
0,,,,
,33,"(-13.0, 39.0)",5.125149354000314,
,57,"(-75.0, -13.0)",6.066361177001454,
,0,,,
,82,"(-8.0, -13.0)",2.460739777001436,
,60,"(11.0, -15.0)",4.393241674000819,
,0,,,
,91,"(40.0, 20.0)",1.7846207579987095,
,100,"(24.0, 7.0)",4.979602733001229,
,20,"(15.0, -20.0)",8.415951898999992,
,61,"(15.0, -13.0)",4.453933378999864,
,83,"(11.0, -13.0)",2.130082329000288,
,11,"(-47.0, -13.0)",8.469465192998541,
,97,"(-45.0, 35.0)",4.825094818999787,
,97,"(36.0, -30.0)",4.096791572999791,
,78,"(35.0, -4.0)",5.346019688999149,
