Condition,Confidence: ,Pos:,RT:,
0,,,,
,88,"(-64.0, -25.0)",3.974649671001316,
,58,"(-69.0, -12.0)",6.074476368999967,
,91,"(1.0, -14.0)",4.958075034001013,
,96,"(-12.0, -8.0)",3.363975954000125,
,89,"(-12.0, 27.0)",1.5541476320013317,
,100,"(10.0, 19.0)",2.97900146900065,
,100,"(34.0, -11.0)",1.2590345950011397,
,100,"(58.0, -20.0)",1.5388738920009928,
,100,"(6.0, -17.0)",5.868698365000455,
,74,"(17.0, -21.0)",4.611935245000495,
,100,"(2.0, -6.0)",1.6920177979991422,
,82,"(-56.0, -21.0)",8.098907124000107,
,100,"(-56.0, 33.0)",3.731270147000032,
,100,"(30.0, -14.0)",2.0832451559999754,
,92,"(61.0, -1.0)",2.8767942180002137,
