Condition,Confidence: ,Pos:,RT:,
1,,,,
,62,"(8.0, -23.0)",7.9568420420037,
,55,"(52.0, -18.0)",6.981057053999393,
,3,,,
,35,"(-24.0, -33.0)",7.688774652997381,
,38,"(-19.0, 4.0)",5.33735989699926,
,80,"(-33.0, -29.0)",7.267888198002765,
,66,"(11.0, -21.0)",4.599998989004234,
,66,"(-16.0, -28.0)",4.692599064997921,
,32,"(-44.0, -16.0)",7.6458340829994995,
,38,"(-9.0, -16.0)",7.384583865001332,
,58,"(39.0, -5.0)",4.4223601009944105,
,58,"(-7.0, -18.0)",7.591537210995739,
,73,"(-36.0, -15.0)",4.074482539996097,
,0,,,
,18,"(-14.0, -22.0)",7.146133498994459,
