Condition,Confidence: ,Pos:,RT:,
1,,,,
,40,"(3.0, 17.0)",4.0798068969997985,
,25,"(45.0, 10.0)",5.719006317001913,
,51,"(52.0, -32.0)",6.497178105000785,
,14,"(3.0, 20.0)",7.73797071700028,
,71,"(-25.0, 14.0)",1.6852367199971923,
,78,"(-46.0, 11.0)",5.749466516001121,
,61,"(27.0, 16.0)",3.1143158340019,
,53,"(55.0, 8.0)",5.926157281002816,
,0,,,
,62,"(-23.0, -5.0)",3.8005291189983836,
,45,"(-1.0, -13.0)",3.447128635001718,
,61,"(-4.0, 9.0)",6.692889629001002,
,66,"(-38.0, 46.0)",5.4857845429978624,
,0,,,
,23,"(13.0, 6.0)",5.4887947810020705,
