Condition,Confidence: ,Pos:,RT:,
1,,,,
,40,"(-69.0, -37.0)",8.15901970199775,
,30,"(45.0, -1.0)",8.63437071700173,
,70,"(12.0, -11.0)",3.3756890520016896,
,20,"(-40.0, -19.0)",9.626065145999746,
,87,"(-34.0, 17.0)",1.000375941999664,
,69,"(-51.0, 7.0)",5.918937852002273,
,50,"(-11.0, 10.0)",5.818082609999692,
,100,"(50.0, -19.0)",4.473988650999672,
,0,,,
,70,"(57.0, -5.0)",4.715060941998672,
,8,"(24.0, -21.0)",5.482673467002314,
,50,"(-44.0, -7.0)",7.580368438997539,
,81,"(-53.0, 43.0)",4.163929397996981,
,0,"(-47.0, -31.0)",8.881721535999532,
,34,"(32.0, 12.0)",7.831713894000131,
