Condition,Confidence: ,Pos:,RT:,
0,,,,
,70,"(-59.0, -19.0)",4.478837998000017,
,48,"(-45.0, -13.0)",2.6836386239999683,
,25,"(35.0, -23.0)",3.891551331999949,
,60,"(1.0, -28.0)",2.086009797000088,
,72,"(-30.0, 12.0)",1.40007652099996,
,29,"(-17.0, -7.0)",2.9282534380000698,
,100,"(15.0, -2.0)",2.4951251799999454,
,88,"(24.0, -2.0)",5.568779862000042,
,39,"(0.0, -18.0)",4.044989751000003,
,35,"(25.0, 31.0)",4.7372796590000235,
,47,"(34.0, -11.0)",4.747271021000074,
,32,"(-48.0, -14.0)",6.325696275000041,
,84,"(-58.0, 35.0)",2.8250477249999904,
,100,"(42.0, -32.0)",2.916114096000001,
,99,"(67.0, 13.0)",2.136873790999971,
