Condition,Confidence: ,Pos:,RT:,
1,,,,
,24,"(-34.0, -26.0)",6.497105573000226,
,25,"(10.0, 7.0)",8.073675368001204,
,40,"(4.0, -6.0)",8.420170745999712,
,30,"(-42.0, -2.0)",9.181712281000728,
,81,"(-19.0, -9.0)",1.7978555629997572,
,60,"(-27.0, -30.0)",3.479909289999341,
,50,"(0.0, 7.0)",6.356333896001161,
,30,"(0.0, -37.0)",9.980357669999648,
,0,,,
,31,"(37.0, 8.0)",6.428583110000545,
,43,"(18.0, -14.0)",5.889778553999349,
,75,"(-7.0, 4.0)",6.594352164000156,
,80,"(-33.0, 35.0)",7.6967849640004715,
,75,"(-42.0, -29.0)",7.33034705099999,
,0,,,
