Condition,Confidence: ,Pos:,RT:,
0,,,,
,65,"(-55.0, -26.0)",3.552929024999912,
,58,"(28.0, -23.0)",4.625295774000051,
,30,"(45.0, -32.0)",7.8078570940001555,
,60,"(-16.0, -3.0)",3.2967843950000315,
,74,"(-19.0, 9.0)",2.716583876000186,
,35,"(2.0, -6.0)",6.545630875999905,
,80,"(36.0, -22.0)",1.8932841830001053,
,75,"(52.0, 3.0)",0.8670828889999029,
,55,"(-24.0, -15.0)",3.236930971999982,
,20,"(3.0, -17.0)",6.456868378000081,
,65,"(4.0, -2.0)",2.5947075150002092,
,40,"(48.0, -21.0)",4.333485268999993,
,80,"(-69.0, 40.0)",2.153976514000078,
,90,"(27.0, -27.0)",2.056095271999993,
,70,"(50.0, 8.0)",1.2294277759999659,
