Condition,Confidence: ,Pos:,RT:,
1,,,,
,26,"(28.0, -24.0)",2.7737838799998826,
,3,"(20.0, 13.0)",4.230818147000264,
,32,"(29.0, -13.0)",2.4217506710001544,
,2,"(-56.0, -9.0)",6.2263510830002815,
,83,"(-35.0, 1.0)",1.28579116300034,
,60,"(-49.0, 19.0)",6.9855086429997755,
,45,"(25.0, 10.0)",3.9036467239998274,
,17,"(58.0, -1.0)",5.869236469000043,
,1,"(-51.0, 41.0)",6.741262938000091,
,9,"(-36.0, -19.0)",3.670960697999817,
,8,"(9.0, -16.0)",3.8162858810001126,
,25,"(-35.0, 0.0)",8.623438131000057,
,59,"(-38.0, 33.0)",7.126907550999931,
,0,"(56.0, 11.0)",9.823504942,
,0,,,
