Condition,Confidence: ,Pos:,RT:,
1,,,,
,60,"(64.0, -19.0)",2.2280311059994347,
,40,"(-21.0, 12.0)",4.1192039980005575,
,60,"(-23.0, -5.0)",5.61949183500019,
,10,"(-33.0, 42.0)",6.6108007259999795,
,50,"(14.0, 10.0)",5.518621530999553,
,80,"(-40.0, 6.0)",7.649210825999944,
,40,"(25.0, 7.0)",4.216453752999769,
,60,"(9.0, 24.0)",3.641405639000368,
,0,"(-56.0, 43.0)",8.17951400399943,
,60,"(58.0, 9.0)",5.062232465999841,
,80,"(5.0, -21.0)",3.0255106700005854,
,50,"(17.0, 45.0)",7.77958530900014,
,90,"(-45.0, 43.0)",4.796929295999689,
,91,"(-8.0, -28.0)",2.481995619999907,
,60,"(33.0, 24.0)",5.292689737999353,
