Condition,Confidence: ,Pos:,RT:,
1,,,,
,40,"(-39.0, -17.0)",6.929064206000476,
,20,"(51.0, -11.0)",7.452034304998961,
,50,"(-30.0, -11.0)",7.610765707999235,
,47,"(-35.0, -10.0)",5.598026436000509,
,65,"(0.0, -8.0)",3.303820564000489,
,49,"(-30.0, 8.0)",7.882852179998736,
,56,"(-1.0, 15.0)",4.685852088001411,
,60,"(21.0, -30.0)",5.250975238999672,
,24,"(-17.0, -7.0)",7.72673439600112,
,1,,,
,32,"(-1.0, -6.0)",9.056873882000218,
,90,"(-67.0, -7.0)",5.528633041998546,
,56,"(-28.0, 34.0)",7.798162404000323,
,57,"(-29.0, -37.0)",6.129107084998395,
,16,"(-37.0, 5.0)",9.108653450999554,
